city_name,lat,lon
Sulzbach am Main,49.91149,9.15315
Sulzbach,50.13396,8.52797
Sulzbach,49.29882,7.05696
Sulz am Neckar,48.36241,8.63309
Sulingen,52.68373,8.80949
Suhl,50.60911,10.69401
Südlohn,51.94465,6.86723
Stuttgart,48.78232,9.17702
Stuhr,53.03333,8.75
Stühlingen,47.7458,8.44813
Strullendorf,49.84429,10.97208
Strausberg,52.57859,13.88741
Straubing,48.88126,12.57385
Strasburg,53.5103,13.74513
Stralsund,54.30911,13.0818
Straelen,51.4419,6.26639
Storkow,52.25662,13.93337
Stolzenau,52.51667,9.06667
Stolpen,51.04901,14.07943
Stollberg,50.70999,12.78034
Stolberg,50.77368,6.22595
Stockstadt am Main,49.97005,9.07153
Stockstadt am Rhein,49.80944,8.47278
Stockheim,50.30639,11.28172
Stöckheim,52.21055,10.52216
Stockelsdorf,53.8922,10.64713
Stockach,47.85105,9.0091
Steyerberg,52.57017,9.02423
Stetten am Kalten Markt,48.12419,9.07775
Stephanskirchen,47.85389,12.1856
Stendal,52.6069,11.85867
Stellingen,53.5922,9.9287
Stelle,53.38416,10.11138
Steinheim an der Murr,48.96821,9.27708
Steinheim am Albuch,48.6909,10.06382
Steinheim,51.87066,9.09136
Steinhagen,52,8.4
Steinfurt,52.15045,7.33664
Steinfeld,52.58596,8.21417
Steinenbronn,48.66667,9.11667
Steinen,47.64446,7.73914
Stein,49.41581,11.01599
Steinbach-Hallenberg,50.69624,10.56541
Steinbach am Taunus,50.16774,8.57278
Steinau an der Straße,50.31401,9.46335
Steilshoop,53.61028,10.05917
Steglitz,52.45606,13.332
Stegaurach,49.86543,10.84385
Staufenberg,50.66197,8.73158
Staßfurt,51.85186,11.58508
Starnberg,48.00193,11.34416
Stahnsdorf,52.38333,13.21667
Bad Staffelstein,50.10199,11.00128
Stadtroda,50.85684,11.72677
Stadtoldendorf,51.88242,9.6265
Stadtlohn,51.99399,6.91918
Stadtilm,50.77596,11.08262
Stadthagen,52.32333,9.20311
Stadtbergen,48.36641,10.84636
Stadtallendorf,50.82261,9.01294
Stade,53.59337,9.47629
Staaken,52.53661,13.15057
Sprockhövel,51.34669,7.24343
Springe,52.20845,9.55416
Spiesen-Elversberg,49.31667,7.13333
Speyer,49.32083,8.43111
Spenge,52.14021,8.48475
Spelle,52.36667,7.46667
Speichersdorf,49.87133,11.78123
Spangenberg,51.11644,9.6627
Spalt,49.17553,10.92453
Spaichingen,48.07477,8.73508
Sottrum,53.11667,9.23333
Sontra,51.07171,9.93558
Sonthofen,47.51821,10.28262
Sontheim an der Brenz,48.55235,10.29097
Sonsbeck,51.60741,6.37916
Sonnefeld,50.21667,11.13333
Sonneberg,50.3592,11.17463
Sondershausen,51.36973,10.87011
Sömmerda,51.15914,11.11524
Soltau,52.98638,9.84338
Solingen,51.17343,7.0845
Söhlde,52.18898,10.23239
Sohland,51.04089,14.41897
Sögel,52.85,7.51667
Soest,51.57558,8.10619
Bad Sobernheim,49.78636,7.65146
Sittensen,53.27615,9.50429
Sinzing,49,12.03333
Sinzig,50.54384,7.24639
Sinzheim,48.76667,8.16667
Sinsheim,49.2529,8.87867
Sinnersdorf,51.02445,6.81787
Sinn,50.65,8.33333
Singen,47.75935,8.8403
Sindelfingen,48.7,9.01667
Simmern,49.98198,7.52351
Simmerath,50.6,6.3
Simbach am Inn,48.26548,13.02309
Sigmaringen,48.08829,9.23033
Siemensstadt,52.54053,13.26294
Siegsdorf,47.82278,12.64277
Siegen,50.87481,8.02431
Siegburg,50.80019,7.20769
Langenhorn,53.66667,10.01667
Seubersdorf,49.16212,11.62714
Sersheim,48.96667,9.01667
Senftenberg,51.52517,14.00164
Sendenhorst,51.84303,7.82996
Senden,51.85645,7.48327
Senden,48.32441,10.04442
Selters,50.51681,8.28953
Selm,51.69689,7.46809
Seligenstadt,50.0432,8.97394
Selb,50.17058,12.13054
Sehnde,52.31394,9.9682
Seevetal,53.4,9.96667
Seesen,51.89095,10.17847
Seelze,52.39635,9.59727
Seelow,52.53392,14.38128
Seelbach,48.31055,7.94069
Seefeld,48.03505,11.21395
Sebnitz,50.9754,14.27579
Schwieberdingen,48.87644,9.07439
Schwetzingen,49.38217,8.5823
Schwerte,51.44387,7.5675
Schwerin,53.62937,11.41316
Schwendi,48.17424,9.97541
Schwelm,51.28635,7.29388
Schweinfurt,50.04937,10.22175
Schweich,49.82215,6.75256
Schwedt (Oder),53.05963,14.28154
Schwarzheide,51.47671,13.85559
Schwarzenfeld,49.38774,12.13484
Schwarzenbruck,49.35778,11.24333
Schwarzenberg,50.53791,12.78522
Schwarzenbek,53.50303,10.48055
Schwarzenbach an der Saale,50.22279,11.93504
Schwarmstedt,52.67794,9.61767
Schwanewede,53.23333,8.6
Schwandorf in Bayern,49.32534,12.1098
Schwalmtal,51.21667,6.26667
Schwalmstadt,50.93333,9.21667
Schwalbach am Taunus,50.15,8.53333
Schwalbach,49.3,6.81667
Schwaikheim,48.87733,9.34958
Schwaigern,49.14494,9.05525
Schwaig,49.46955,11.20064
Schwabmünchen,48.17928,10.75675
Schwäbisch Hall,49.11127,9.73908
Schwäbisch Gmünd,48.79947,9.79809
Kleinschwabhausen,48.40157,11.35729
Schwabach,49.33047,11.02346
Schwaan,53.94047,12.10715
Schüttorf,52.32281,7.22176
Schutterwald,48.45,7.88333
Bad Schussenried,48.00468,9.65741
Schulzendorf,52.35818,13.59842
Schrozberg,49.34528,9.97944
Schrobenhausen,48.56067,11.26071
Schriesheim,49.47372,8.6636
Schramberg,48.22399,8.38583
Schotten,50.50346,9.12516
Schortens,53.53333,7.95
Schorndorf,48.80537,9.52721
Schöppingen,52.1,7.23333
Schöppenstedt,52.14308,10.7745
Schopfheim,47.65105,7.82089
Schonungen,50.05008,10.30809
Schönkirchen,54.33333,10.23333
Schöningen,52.13802,10.96745
Schönheide,50.50458,12.52158
Schongau,47.8124,10.89664
Schöneiche,52.47286,13.69226
Schönefeld,52.38897,13.50374
Schöneberg,52.49801,13.3443
Schönebeck,52.01682,11.7307
Schönau am Königssee,47.60055,12.98704
Schönaich,48.65871,9.06012
Schömberg,48.78713,8.64495
Schöllnach,48.75412,13.17781
Schneverdingen,53.11685,9.79524
Schnelsen,53.63743,9.91969
Schneeberg,50.59465,12.64139
Schnaittach,49.55958,11.34328
Schmölln,50.89678,12.35339
Schmitten,50.26667,8.45
Schmelz,49.43333,6.85
Schmargendorf,52.47517,13.29071
Schmallenberg,51.15473,8.28505
Schmalkalden,50.72136,10.44386
Schlüsselfeld,49.75621,10.61873
Schlüchtern,50.34891,9.52532
Schlitz,50.67416,9.56102
Schliersee,47.73621,11.85936
Schliengen,47.75698,7.57645
Schleusingen,50.51076,10.75658
Schleswig,54.52021,9.56829
Bad Schlema,50.60257,12.67288
Schleiz,50.57866,11.81024
Schleiden,50.52896,6.47692
Schlangenbad,50.09322,8.10312
Schlangen,51.80978,8.84605
Schladen,52.02218,10.53967
Schkeuditz,51.39678,12.22141
Schipkau,51.51766,13.89738
Schilksee,54.41833,10.17193
Schiffweiler,49.36667,7.13333
Schifferstadt,49.38417,8.3775
Schiffdorf,53.53333,8.65
Schierstein,50.04457,8.19788
Schierling,48.83422,12.13946
Scheßlitz,49.97568,11.03299
Schermbeck,51.68333,6.86667
Schellerten,52.1853,10.10227
Schelklingen,48.37575,9.73273
Scheeßel,53.16667,9.48333
Scharbeutz,54.02389,10.75213
Schallstadt,47.95855,7.75755
Schalksmühle,51.2412,7.5279
Schäftlarn,47.99027,11.45591
Schaafheim,49.92417,9.00944
Bad Saulgau,48.01676,9.50064
Sauerlach,47.97171,11.65383
Satteldorf,49.16953,10.07957
Sassnitz,54.5157,13.64451
Sassenberg,51.99223,8.04068
Sasel,53.65385,10.11184
Sasbach,48.63971,8.09375
Sarstedt,52.23495,9.85411
Sankt Wendel,49.46633,7.16814
Sankt Leon,49.2675,8.59972
Sankt Johann,48.45397,9.34396
